image\n03877845_101.JPEG,1374,963,5,44,1413,820,0,58,357,33,14,0,1,445,994,0,5,466,9,6,0,0,28,22,0,2,2930
image\n03877845_1012.JPEG,4336,67,0,128,84,1,0,0,0,8,7,0,11,139,2,0,0,2,0,0,0,0,9,0,0,709,4490
image\n03877845_1013.JPEG,2385,202,0,29,794,2,0,0,0,0,0,0,0,2195,193,0,5,280,0,0,0,0,0,0,0,5,3904
image\n03877845_106.JPEG,1182,41,0,10,88,0,0,0,0,758,0,0,2406,824,57,0,30,194,0,0,0,0,1222,0,0,2822,360
image\n03877845_1090.JPEG,1778,462,0,8,581,29,0,0,1,19,13,0,40,1703,256,0,9,380,0,0,0,0,220,14,0,105,4376
image\n03877845_1144.JPEG,2837,290,0,21,729,7,0,0,0,3,0,0,3,2262,160,0,0,187,0,0,0,0,1537,1,0,1265,689
image\n03877845_1146.JPEG,697,2821,39,1,826,454,0,0,1,0,6,0,1,1005,760,0,4,660,0,0,0,0,0,7,0,1,2706
image\n03877845_1180.JPEG,3973,228,0,1075,1026,0,0,0,0,0,0,0,0,48,0,0,9,12,0,0,0,0,0,0,0,1,3624
image\n03877845_1184.JPEG,2752,208,0,0,453,651,0,0,0,524,19,0,111,591,1816,0,0,812,0,0,0,0,1280,3,0,134,640
image\n03877845_1193.JPEG,4229,761,6,10,547,54,0,0,0,363,16,0,912,1628,599,0,0,556,0,0,0,2,119,0,0,9,181
image\n03877845_1202.JPEG,1587,1229,80,687,786,13,0,3,1,61,124,60,29,2309,529,0,9,300,1,0,4,1,216,296,0,35,1627
image\n03877845_1203.JPEG,2790,18,0,88,153,0,0,0,0,322,5,0,498,976,33,0,11,51,0,0,0,265,108,4,1066,1895,1707
image\n03877845_1246.JPEG,2328,102,0,379,791,16,0,0,0,2177,2,0,1306,560,157,0,0,990,0,0,0,126,27,0,0,1,1029
image\n03877845_1274.JPEG,1781,671,21,281,1496,369,0,60,83,0,3,0,36,2297,540,0,22,630,0,0,0,0,693,109,0,21,879
image\n03877845_1278.JPEG,310,3587,62,0,1809,2101,0,0,11,0,0,0,0,157,1220,0,0,522,0,0,0,0,0,1,0,0,214
image\n03877845_1334.JPEG,2980,76,0,12,344,9,0,0,0,138,2,0,45,1002,426,0,8,832,45,0,0,2809,79,2,2,16,1161
image\n03877845_1338.JPEG,3807,161,0,0,102,47,0,0,44,73,69,0,9,3572,176,0,0,264,0,0,0,0,858,73,0,56,683
image\n03877845_1357.JPEG,2617,780,0,87,4408,2,0,0,0,0,0,0,0,237,14,0,26,57,0,0,0,0,0,0,0,0,1765
